,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2582,Pike,1,500.0,405.11472275334603,0.0,0.0,0.0,380.0,18.0,298.0,117.0,Pike,,0.0
1351,"Fresh Pasta, Contains Egg",1,230.0,626.123326959847,2.07,5.9799999999999995,496.79999999999995,83.71999999999998,47.60999999999999,2986.0899999999997,1172.08,Fresh Pasta,pasta,0.0
1495,"Hamburger, Chicken Burger, Mcdonald'S",1,170.0,459.1300191204588,1.7,2.55,199.92,75.47999999999999,192.77999999999997,1491.58,585.4799999999999,Hamburger,chicken,0.0
3023,"Rice Porridge, Water, Without Salt",1,170.0,78.82409177820267,0.0,0.17,68.0,6.8,3.06,7.48,2.8899999999999997,Rice Porridge,porridge,0.0
4097,"Yoghurt, Flavoured, 7% Fat",1,160.0,193.88145315487571,22.880000000000003,0.32000000000000006,91.52000000000001,17.919999999999998,100.80000000000001,146.72,57.6,Yoghurt,,5.6000000000000005
2728,"Porridge Flake Mix With Fibre, Nalle",1,40.0,142.44741873804972,0.76,10.8,69.12,22.080000000000002,33.12,6.96,2.72,Porridge Flake Mix With Fibre,porridge,0.0
1804,"Macaroni, Pasta",1,30.0,101.60133843212236,0.15,1.02,79.68,15.6,2.97,2.28,0.8999999999999999,Macaroni,pasta,0.0
