,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
805,"Chicken Drumstick With Skin, Raw",1,500.0,590.3441682600383,0.0,0.0,0.0,384.0,207.0,892.0,350.0,Chicken Drumstick With Skin,chicken,0.0
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,340.0,472.944550669216,0.34,7.819999999999999,399.84,46.239999999999995,18.36,3371.78,1323.28,Crashed Rye Grain E And Rice Mix,rice,0.0
3264,"Salmon, Whole",1,130.0,164.98565965583174,0.0,0.0,0.0,63.44,102.96000000000001,92.56,36.269999999999996,Salmon,salmon,0.0
4009,"White Bread, Wheat Roll, Water",1,120.0,286.52007648183553,0.96,2.88,238.07999999999998,37.92,29.16,581.52,228.23999999999998,White Bread,,0.0
3085,"Rye And Rice Mix, Crashed Rye Grain",1,120.0,417.3040152963671,0.36,6.96,352.8,40.8,15.12,12.239999999999998,4.8,Rye And Rice Mix,rice,0.0
956,"Cocoa, Hot Chocolate, Sugar-Free, Water",1,60.0,8.030592734225621,0.0,0.66,0.96,1.68,4.32,4.98,1.92,Cocoa,,0.0
806,"Chicken Fillet, Boiled Without Salt",1,20.0,28.489483747609945,0.0,0.0,0.0,19.76,8.639999999999999,30.22,11.86,Chicken Fillet,chicken,0.0
