,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3152,"Saithe, Frozen",1,300.0,240.91778202676863,0.0,0.0,0.0,211.20000000000002,27.0,305.70000000000005,120.0,Saithe,,0.0
1351,"Fresh Pasta, Contains Egg",1,220.0,598.9005736137667,1.9800000000000002,5.720000000000001,475.20000000000005,80.08,45.54,2856.26,1121.1200000000001,Fresh Pasta,pasta,0.0
566,"Bun, Chocolate And Vanilla Filling, Tiikerikranssi, Vaasan Isoäidin",1,210.0,727.7724665391969,41.37,3.9899999999999998,461.16,62.160000000000004,211.68,1324.05,519.5400000000001,Bun,,4.83
173,"Basil, Fresh",1,160.0,41.30019120458891,0.48,2.5600000000000005,7.040000000000001,19.840000000000003,10.08,36.64,14.4,Basil,,0.0
1514,"Hamburger With Sausage, Without Seasonings, Grill",1,110.0,300.76481835564056,0.55,1.1,108.68,40.48,160.38,1743.7200000000003,684.3100000000001,Hamburger With Sausage,hamburger,0.0
3045,Roach,1,100.0,94.88527724665391,0.0,0.0,0.0,72.8,21.599999999999998,114.7,45.0,Roach,,0.0
2774,"Powan, Whitefish, Pollan, Lavaret, Farmed",1,70.0,92.68642447418736,0.0,0.0,0.0,55.44,37.17,35.279999999999994,13.86,Powan,fish,0.0
2728,"Porridge Flake Mix With Fibre, Nalle",1,30.0,106.83556405353728,0.57,8.1,51.84,16.56,24.84,5.22,2.04,Porridge Flake Mix With Fibre,porridge,0.0
4150,"Zander, Pike-Perch",1,30.0,23.876673040152962,0.0,0.0,0.0,22.439999999999998,1.08,35.64,13.98,Zander,,0.0
