,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2572,Perch,1,500.0,412.2848948374761,0.0,0.0,0.0,376.0,31.5,581.0,228.0,Perch,,0.0
3745,"Thin Pancake, Atria",1,330.0,703.5372848948374,14.19,4.619999999999999,489.71999999999997,83.16,139.59,2725.7999999999997,1069.86,Thin Pancake,cake,0.0
1068,"Crispbread, Wasa Oat, Oat And Wheat Flour, Oat Flakes",1,150.0,538.121414913958,1.5,15.0,384.59999999999997,71.4,70.2,1860.4499999999998,730.2,Crispbread,,0.0
1756,Lingonberry Jam,1,100.0,137.4282982791587,33.2,1.0,134.0,0.8,2.6999999999999997,2.9,1.1,Lingonberry Jam,,0.0
1017,"Cream, Low-Fat, 25% Fat",1,70.0,176.84034416826,2.0999999999999996,0.0,8.399999999999999,3.6399999999999997,170.1,62.44,24.5,Cream,,2.0999999999999996
221,"Beef Chuck, Beef Shoulder",1,50.0,58.31739961759082,0.0,0.0,0.0,42.4,15.75,72.6,28.5,Beef Chuck,beef,0.0
2726,"Pork-Vegetable Puree, Average, Industrial Babyfood",1,20.0,14.531548757170171,0.30000000000000004,0.13999999999999999,6.720000000000001,2.4000000000000004,5.4,15.26,5.98,Pork-Vegetable Puree,pork,0.08000000000000002
2774,"Powan, Whitefish, Pollan, Lavaret, Farmed",1,10.0,13.240917782026768,0.0,0.0,0.0,7.920000000000001,5.3100000000000005,5.04,1.9800000000000002,Powan,fish,0.0
