,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
755,"Cheese, Semi-Hard Cheese, 10% Fat, Valio Polar",1,320.0,653.1548757170171,0.0,0.0,0.0,372.48,290.88,3301.76,1295.68,Cheese,cheese,0.0
3085,"Rye And Rice Mix, Crashed Rye Grain",1,250.0,869.3833652007647,0.75,14.5,735.0,85.0,31.5,25.5,10.0,Rye And Rice Mix,rice,0.0
2256,"Multigrain Bread, Oat Bread, Kaurajuntta, Ullan Pakari",1,130.0,300.1434034416826,1.4300000000000002,5.460000000000001,237.64000000000001,46.28,24.570000000000004,1505.4,590.85,Multigrain Bread,,0.0
221,"Beef Chuck, Beef Shoulder",1,90.0,104.97131931166348,0.0,0.0,0.0,76.32,28.35,130.68,51.300000000000004,Beef Chuck,beef,0.0
3264,"Salmon, Whole",1,30.0,38.073613766730396,0.0,0.0,0.0,14.639999999999999,23.76,21.36,8.37,Salmon,salmon,0.0
