,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3968,"Wheat Porridge, Water, Wheat Flakes, Without Salt",1,500.0,211.52007648183556,0.0,8.0,148.0,32.0,13.499999999999998,19.0,7.5,Wheat Porridge,porridge,0.0
755,"Cheese, Semi-Hard Cheese, 10% Fat, Valio Polar",1,350.0,714.3881453154875,0.0,0.0,0.0,407.40000000000003,318.15,3611.2999999999997,1417.1499999999999,Cheese,cheese,0.0
4009,"White Bread, Wheat Roll, Water",1,190.0,453.6567877629063,1.52,4.56,376.96,60.04,46.17,920.74,361.37999999999994,White Bread,,0.0
2988,"Rice, White, Long-Grain, Parboiled",1,140.0,512.9541108986615,0.0,2.38,442.4,45.35999999999999,12.6,17.779999999999998,7.0,Rice,rice,0.0
969,"Cod, Boiled Without Salt",1,60.0,52.34225621414913,0.0,0.0,0.0,47.04,4.859999999999999,100.74,39.54,Cod,,0.0
146,"Barley Porridge, Pearl Barley, Water, Without Salt",1,40.0,13.766730401529637,0.0,0.4,10.72,1.4400000000000002,0.7200000000000001,1.56,0.6000000000000001,Barley Porridge,porridge,0.0
2570,"Pepper, Black Pepper",1,20.0,55.97514340344168,0.12,5.300000000000001,30.64,8.72,5.94,22.42,8.8,Pepper,,0.0
