,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
968,Cod,1,500.0,383.60420650095597,0.0,0.0,0.0,344.0,36.0,739.0,290.0,Cod,,0.0
1351,"Fresh Pasta, Contains Egg",1,190.0,517.2323135755257,1.71,4.9399999999999995,410.4,69.16,39.33,2466.77,968.24,Fresh Pasta,pasta,0.0
3023,"Rice Porridge, Water, Without Salt",1,190.0,88.09751434034416,0.0,0.19,76.0,7.6,3.42,8.36,3.23,Rice Porridge,porridge,0.0
1514,"Hamburger With Sausage, Without Seasonings, Grill",1,180.0,492.1606118546845,0.9,1.8,177.84,66.24,262.44,2853.36,1119.78,Hamburger With Sausage,hamburger,0.0
1068,"Crispbread, Wasa Oat, Oat And Wheat Flour, Oat Flakes",1,130.0,466.37189292543025,1.3,13.0,333.32,61.88,60.84000000000001,1612.39,632.84,Crispbread,,0.0
2572,Perch,1,70.0,57.71988527724665,0.0,0.0,0.0,52.64,4.409999999999999,81.34,31.919999999999998,Perch,,0.0
