,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
4150,"Zander, Pike-Perch",1,460.0,366.10898661567876,0.0,0.0,0.0,344.08,16.56,546.4799999999999,214.35999999999999,Zander,,0.0
3745,"Thin Pancake, Atria",1,440.0,938.0497131931166,18.92,6.16,652.96,110.88000000000001,186.12000000000003,3634.4,1426.48,Thin Pancake,cake,0.0
1490,"Hamburger, Beef And Wheat Roll, Mcdonald'S",1,200.0,468.92925430210323,7.4,4.0,203.2,108.0,167.4,2413.0,947.0,Hamburger,beef,0.0
3561,Spinach Boiled Without Salt,1,130.0,27.652963671128106,0.13,2.8600000000000003,1.56,13.0,8.19,81.9,32.11,Spinach Boiled Without Salt,,0.0
2208,"Multigrain Bread, Bread Roll, Rye And Wheat Flour, Ruis-Vehnätyynyt, Vaasan",1,70.0,193.57074569789674,1.6099999999999999,6.3,138.04,24.64,20.79,840.28,329.77,Multigrain Bread,,0.0
