,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2209,"Multigrain Bread, Bread Roll, Tuhti-Moniviljasämpylä, Katri Antell",1,460.0,1129.1108986615677,6.8999999999999995,13.799999999999999,850.08,163.76,128.34,4688.32,1839.9999999999998,Multigrain Bread,,0.9199999999999999
3794,"Tofu, Soft, Soya Product",1,430.0,352.50956022944547,2.5799999999999996,1.2899999999999998,27.52,139.32,185.75999999999996,76.54,30.099999999999998,Tofu,tofu,0.0
3836,"Turkey, Boiled, Unsalted",1,220.0,311.8068833652008,0.0,0.0,0.0,262.24,45.54,221.54000000000002,86.9,Turkey,,0.0
1806,"Macaroni, Pasta, Contains Egg, Boiled, Without Salt",1,120.0,107.55258126195028,0.36,3.48,71.04,17.76,11.88,24.0,9.36,Macaroni,pasta,0.0
3520,"Soya Drink, Plain, Calcium, Vitamins, Alpro",1,50.0,16.849904397705544,0.25,0.65,1.8,6.0,8.1,11.55,4.55,Soya Drink,,0.0
394,"Biscuit, Marie Biscuit",1,20.0,85.46845124282983,3.7600000000000002,0.5,57.6,6.640000000000001,20.88,20.1,7.88,Biscuit,,0.0
3526,"Soya Mince, White Or Dark, Boiled Without Salt",1,10.0,12.739005736137667,0.30000000000000004,0.5700000000000001,3.2,7.5200000000000005,0.81,0.49000000000000005,0.19,Soya Mince,,0.0
