,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3934,"Vendace, Lake",1,480.0,531.1663479923518,0.0,0.0,0.0,359.03999999999996,168.48,213.6,84.0,Vendace,,0.0
2209,"Multigrain Bread, Bread Roll, Tuhti-Moniviljasämpylä, Katri Antell",1,460.0,1129.1108986615677,6.8999999999999995,13.799999999999999,850.08,163.76,128.34,4688.32,1839.9999999999998,Multigrain Bread,,0.9199999999999999
1806,"Macaroni, Pasta, Contains Egg, Boiled, Without Salt",1,210.0,188.217017208413,0.63,6.09,124.32000000000001,31.080000000000002,20.790000000000003,42.0,16.38,Macaroni,pasta,0.0
3264,"Salmon, Whole",1,80.0,101.52963671128107,0.0,0.0,0.0,39.04,63.36000000000001,56.96000000000001,22.32,Salmon,salmon,0.0
4097,"Yoghurt, Flavoured, 7% Fat",1,20.0,24.235181644359464,2.8600000000000003,0.04000000000000001,11.440000000000001,2.2399999999999998,12.600000000000001,18.34,7.2,Yoghurt,,0.7000000000000001
2336,"Noodle, Boiled, Without Salt",1,20.0,26.768642447418742,0.04000000000000001,0.26,20.240000000000002,3.44,2.3400000000000003,0.9800000000000001,0.38,Noodle,,0.0
