,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3934,"Vendace, Lake",1,460.0,509.03441682600373,0.0,0.0,0.0,344.08,161.46,204.7,80.5,Vendace,,0.0
2209,"Multigrain Bread, Bread Roll, Tuhti-Moniviljasämpylä, Katri Antell",1,460.0,1129.1108986615677,6.8999999999999995,13.799999999999999,850.08,163.76,128.34,4688.32,1839.9999999999998,Multigrain Bread,,0.9199999999999999
1806,"Macaroni, Pasta, Contains Egg, Boiled, Without Salt",1,140.0,125.47801147227531,0.42,4.06,82.88,20.72,13.86,28.0,10.92,Macaroni,pasta,0.0
3023,"Rice Porridge, Water, Without Salt",1,120.0,55.640535372848944,0.0,0.12,48.0,4.8,2.16,5.28,2.04,Rice Porridge,porridge,0.0
3793,"Tofu, Firm, Soya Product",1,90.0,138.31261950286807,0.0,2.07,1.8,62.28,70.47,32.13,12.6,Tofu,tofu,0.0
4097,"Yoghurt, Flavoured, 7% Fat",1,20.0,24.235181644359464,2.8600000000000003,0.04000000000000001,11.440000000000001,2.2399999999999998,12.600000000000001,18.34,7.2,Yoghurt,,0.7000000000000001
