,0
count,6.0
grams,1300.0
fibre,19.54
sugar,1.7600000000000002
kcal,2003.5372848948375
carb_kcal,1015.1200000000001
protein_kcal,595.44
fat_kcal,393.12
salt,4421.98
sodium,1735.24
lactose,0.0
