,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
806,"Chicken Fillet, Boiled Without Salt",1,370.0,527.055449330784,0.0,0.0,0.0,365.56,159.84,559.07,219.41,Chicken Fillet,chicken,0.0
3968,"Wheat Porridge, Water, Wheat Flakes, Without Salt",1,310.0,131.14244741873804,0.0,4.960000000000001,91.76,19.840000000000003,8.37,11.78,4.65,Wheat Porridge,porridge,0.0
2256,"Multigrain Bread, Oat Bread, Kaurajuntta, Ullan Pakari",1,300.0,692.6386233269599,3.3000000000000003,12.600000000000001,548.4000000000001,106.80000000000001,56.7,3474.0,1363.5,Multigrain Bread,,0.0
2524,"Pasta, Spaghetti, Naturally Gluten-Free, Contains Egg",1,120.0,379.15869980879535,0.0,0.0,338.4,12.48,23.76,83.39999999999999,32.76,Pasta,pasta,0.0
3793,"Tofu, Firm, Soya Product",1,80.0,122.94455066921606,0.0,1.8399999999999999,1.6,55.36000000000001,62.64,28.560000000000002,11.200000000000001,Tofu,tofu,0.0
146,"Barley Porridge, Pearl Barley, Water, Without Salt",1,70.0,24.091778202676863,0.0,0.7,18.759999999999998,2.52,1.26,2.73,1.0499999999999998,Barley Porridge,porridge,0.0
1220,"Fish, Fatty, Smoked",1,50.0,120.10038240917781,0.0,0.0,0.0,34.6,88.64999999999999,880.35,345.5,Fish,fish,0.0
