,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
4150,"Zander, Pike-Perch",1,480.0,382.0267686424474,0.0,0.0,0.0,359.03999999999996,17.28,570.24,223.68,Zander,,0.0
4097,"Yoghurt, Flavoured, 7% Fat",1,270.0,327.1749521988528,38.61000000000001,0.54,154.44000000000003,30.24,170.10000000000002,247.59000000000003,97.2,Yoghurt,,9.450000000000001
1490,"Hamburger, Beef And Wheat Roll, Mcdonald'S",1,200.0,468.92925430210323,7.4,4.0,203.2,108.0,167.4,2413.0,947.0,Hamburger,beef,0.0
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,170.0,236.472275334608,0.17,3.9099999999999997,199.92,23.119999999999997,9.18,1685.89,661.64,Crashed Rye Grain E And Rice Mix,rice,0.0
3384,Semolina,1,110.0,353.60898661567876,0.44000000000000006,3.8500000000000005,279.84000000000003,50.6,10.89,8.36,3.3000000000000003,Semolina,,0.0
2987,"Rice, White",1,40.0,136.9980879541109,0.16000000000000003,0.9199999999999999,120.96,9.76,2.52,6.120000000000001,2.4000000000000004,Rice,rice,0.0
2728,"Porridge Flake Mix With Fibre, Nalle",1,20.0,71.22370936902486,0.38,5.4,34.56,11.040000000000001,16.56,3.48,1.36,Porridge Flake Mix With Fibre,porridge,0.0
