,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3000,"Rice And Rye Mix, Boiled Without Salt",1,500.0,695.5066921606118,0.5,11.5,588.0,68.0,26.999999999999996,28.0,11.0,Rice And Rye Mix,rice,0.0
805,"Chicken Drumstick With Skin, Raw",1,350.0,413.2409177820267,0.0,0.0,0.0,268.8,144.9,624.4,245.0,Chicken Drumstick With Skin,chicken,0.0
2256,"Multigrain Bread, Oat Bread, Kaurajuntta, Ullan Pakari",1,190.0,438.67112810707454,2.09,7.9799999999999995,347.32,67.64,35.910000000000004,2200.2,863.55,Multigrain Bread,,0.0
2915,"Rainbow Trout Sea, Fillet",1,170.0,259.225621414914,0.0,0.0,0.0,114.24,146.88,225.25,88.39999999999999,Rainbow Trout Sea,,0.0
3837,"Turkey, Oven-Baked",1,60.0,104.54110898661568,0.0,0.0,0.0,67.2,37.26,621.3,243.83999999999997,Turkey,,0.0
2988,"Rice, White, Long-Grain, Parboiled",1,20.0,73.2791586998088,0.0,0.34,63.2,6.48,1.8,2.54,1.0,Rice,rice,0.0
