,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3045,Roach,1,360.0,341.5869980879541,0.0,0.0,0.0,262.08,77.75999999999999,412.92,162.0,Roach,,0.0
2774,"Powan, Whitefish, Pollan, Lavaret, Farmed",1,230.0,304.5411089866156,0.0,0.0,0.0,182.16,122.13,115.91999999999999,45.54,Powan,fish,0.0
1351,"Fresh Pasta, Contains Egg",1,190.0,517.2323135755257,1.71,4.9399999999999995,410.4,69.16,39.33,2466.77,968.24,Fresh Pasta,pasta,0.0
1068,"Crispbread, Wasa Oat, Oat And Wheat Flour, Oat Flakes",1,150.0,538.121414913958,1.5,15.0,384.59999999999997,71.4,70.2,1860.4499999999998,730.2,Crispbread,,0.0
4097,"Yoghurt, Flavoured, 7% Fat",1,130.0,157.52868068833652,18.59,0.26,74.36,14.559999999999999,81.9,119.21000000000001,46.800000000000004,Yoghurt,,4.55
2524,"Pasta, Spaghetti, Naturally Gluten-Free, Contains Egg",1,50.0,157.98279158699808,0.0,0.0,141.0,5.2,9.9,34.75,13.65,Pasta,pasta,0.0
