,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
956,"Cocoa, Hot Chocolate, Sugar-Free, Water",1,380.0,50.8604206500956,0.0,4.18,6.08,10.639999999999999,27.36,31.540000000000003,12.16,Cocoa,,0.0
806,"Chicken Fillet, Boiled Without Salt",1,370.0,527.055449330784,0.0,0.0,0.0,365.56,159.84,559.07,219.41,Chicken Fillet,chicken,0.0
2256,"Multigrain Bread, Oat Bread, Kaurajuntta, Ullan Pakari",1,300.0,692.6386233269599,3.3000000000000003,12.600000000000001,548.4000000000001,106.80000000000001,56.7,3474.0,1363.5,Multigrain Bread,,0.0
2988,"Rice, White, Long-Grain, Parboiled",1,140.0,512.9541108986615,0.0,2.38,442.4,45.35999999999999,12.6,17.779999999999998,7.0,Rice,rice,0.0
2899,"Rainbow Trout, Fillet",1,60.0,91.49139579349904,0.0,0.0,0.0,40.32,51.839999999999996,79.5,31.2,Rainbow Trout,,0.0
1220,"Fish, Fatty, Smoked",1,50.0,120.10038240917781,0.0,0.0,0.0,34.6,88.64999999999999,880.35,345.5,Fish,fish,0.0
