,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,500.0,695.5066921606118,0.5,11.5,588.0,68.0,26.999999999999996,4958.5,1946.0,Crashed Rye Grain E And Rice Mix,rice,0.0
4016,"White Fish, Pangasius/Hake/Tilapia, Average, Boiled Without Salt",1,290.0,255.06692160611854,0.0,0.0,0.0,219.23999999999998,33.93,587.54,230.54999999999998,White Fish,fish,0.0
3153,"Saithe, Oven-Baked",1,170.0,158.46080305927342,0.0,0.0,0.0,138.72,18.36,2150.6699999999996,844.05,Saithe,,0.0
1220,"Fish, Fatty, Smoked",1,160.0,384.321223709369,0.0,0.0,0.0,110.72000000000001,283.68,2817.1200000000003,1105.6000000000001,Fish,fish,0.0
4009,"White Bread, Wheat Roll, Water",1,100.0,238.76673040152963,0.8,2.4,198.4,31.6,24.3,484.6,190.2,White Bread,,0.0
3085,"Rye And Rice Mix, Crashed Rye Grain",1,70.0,243.4273422562141,0.21,4.06,205.79999999999998,23.799999999999997,8.819999999999999,7.139999999999999,2.8,Rye And Rice Mix,rice,0.0
