,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2774,"Powan, Whitefish, Pollan, Lavaret, Farmed",1,470.0,622.3231357552581,0.0,0.0,0.0,372.24,249.57000000000002,236.88,93.06,Powan,fish,0.0
2209,"Multigrain Bread, Bread Roll, Tuhti-Moniviljasämpylä, Katri Antell",1,400.0,981.8355640535373,6.0,12.0,739.2,142.4,111.60000000000001,4076.8,1600.0,Multigrain Bread,,0.8
3023,"Rice Porridge, Water, Without Salt",1,280.0,129.82791586998087,0.0,0.27999999999999997,112.0,11.2,5.04,12.32,4.76,Rice Porridge,porridge,0.0
2582,Pike,1,60.0,48.61376673040152,0.0,0.0,0.0,45.6,2.16,35.76,14.04,Pike,,0.0
1068,"Crispbread, Wasa Oat, Oat And Wheat Flour, Oat Flakes",1,50.0,179.37380497131932,0.5,5.0,128.2,23.8,23.400000000000002,620.15,243.4,Crispbread,,0.0
