,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
970,"Cod, Oven-Baked",1,500.0,446.94072657743783,0.0,0.0,0.0,402.0,40.5,6592.0,2587.0,Cod,,0.0
4097,"Yoghurt, Flavoured, 7% Fat",1,290.0,351.4101338432122,41.47,0.58,165.88,32.48,182.7,265.93,104.39999999999999,Yoghurt,,10.15
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,170.0,236.472275334608,0.17,3.9099999999999997,199.92,23.119999999999997,9.18,1685.89,661.64,Crashed Rye Grain E And Rice Mix,rice,0.0
3085,"Rye And Rice Mix, Crashed Rye Grain",1,160.0,556.4053537284894,0.48,9.28,470.40000000000003,54.400000000000006,20.16,16.32,6.4,Rye And Rice Mix,rice,0.0
1504,"Hamburger, Pork And Beef And Wheat Roll",1,120.0,259.2734225621415,3.7199999999999998,1.68,107.04,45.6,113.39999999999999,1251.36,491.15999999999997,Hamburger,pork,0.0
2728,"Porridge Flake Mix With Fibre, Nalle",1,40.0,142.44741873804972,0.76,10.8,69.12,22.080000000000002,33.12,6.96,2.72,Porridge Flake Mix With Fibre,porridge,0.0
1791,"Lobster, Boiled",1,20.0,20.84130019120459,0.0,0.0,0.0,18.8,1.8,188.56,74.0,Lobster,,0.0
