,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
968,Cod,1,500.0,383.60420650095597,0.0,0.0,0.0,344.0,36.0,739.0,290.0,Cod,,0.0
2209,"Multigrain Bread, Bread Roll, Tuhti-Moniviljasämpylä, Katri Antell",1,210.0,515.4636711281071,3.1500000000000004,6.300000000000001,388.08000000000004,74.76,58.59,2140.32,840.0,Multigrain Bread,,0.42000000000000004
1068,"Crispbread, Wasa Oat, Oat And Wheat Flour, Oat Flakes",1,160.0,573.9961759082219,1.6,16.0,410.24,76.16000000000001,74.88000000000001,1984.48,778.8800000000001,Crispbread,,0.0
1514,"Hamburger With Sausage, Without Seasonings, Grill",1,150.0,410.133843212237,0.75,1.5,148.2,55.199999999999996,218.7,2377.8,933.1500000000001,Hamburger With Sausage,hamburger,0.0
970,"Cod, Oven-Baked",1,50.0,44.69407265774378,0.0,0.0,0.0,40.2,4.05,659.2,258.7,Cod,,0.0
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,40.0,55.640535372848944,0.04000000000000001,0.9199999999999999,47.04,5.44,2.1599999999999997,396.68000000000006,155.68,Crashed Rye Grain E And Rice Mix,rice,0.0
