,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2525,"Pasta, Spaghetti, Naturally Gluten-Free, Contains Egg, Boiled Without Salt",1,480.0,516.2523900573614,0.0,0.0,460.79999999999995,17.28,30.24,123.35999999999999,48.48,Pasta,pasta,0.0
969,"Cod, Boiled Without Salt",1,320.0,279.1586998087954,0.0,0.0,0.0,250.88000000000002,25.92,537.2800000000001,210.88000000000002,Cod,,0.0
4009,"White Bread, Wheat Roll, Water",1,260.0,620.793499043977,2.08,6.24,515.84,82.16000000000001,63.18000000000001,1259.96,494.52,White Bread,,0.0
755,"Cheese, Semi-Hard Cheese, 10% Fat, Valio Polar",1,180.0,367.3996175908222,0.0,0.0,0.0,209.52,163.61999999999998,1857.24,728.8199999999999,Cheese,cheese,0.0
960,"Cocoa Powder, Unsweetened",1,60.0,221.98852772466537,0.0,18.24,26.4,44.4,117.17999999999998,88.68,34.8,Cocoa Powder,,0.0
