,0
count,6.0
grams,1290.0
fibre,24.389999999999997
sugar,3.7
kcal,1975.812619502868
carb_kcal,982.04
protein_kcal,595.08
fat_kcal,398.97
salt,10050.51
sodium,3944.62
lactose,0.0
