,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
1488,"Hamburger, Beef And Wheat Roll",1,500.0,932.1223709369025,15.5,7.0,446.0,224.0,288.0,5333.5,2093.0,Hamburger,beef,0.0
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,430.0,598.1357552581261,0.43,9.889999999999999,505.67999999999995,58.48,23.219999999999995,4264.31,1673.56,Crashed Rye Grain E And Rice Mix,rice,0.0
969,"Cod, Boiled Without Salt",1,260.0,226.81644359464624,0.0,0.0,0.0,203.84000000000003,21.06,436.54,171.34000000000003,Cod,,0.0
810,"Chicken Fillet, Oven Baked",1,50.0,72.06022944550669,0.0,0.0,0.0,59.4,12.15,491.65,192.95,Chicken Fillet,chicken,0.0
755,"Cheese, Semi-Hard Cheese, 10% Fat, Valio Polar",1,40.0,81.64435946462714,0.0,0.0,0.0,46.56,36.36,412.72,161.96,Cheese,cheese,0.0
2728,"Porridge Flake Mix With Fibre, Nalle",1,30.0,106.83556405353728,0.57,8.1,51.84,16.56,24.84,5.22,2.04,Porridge Flake Mix With Fibre,porridge,0.0
