,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
564,"Buckwheat Porridge, Water, Salt",1,500.0,311.90248565965584,0.0,5.5,230.0,50.0,18.0,2495.5,979.5,Buckwheat Porridge,porridge,0.0
1768,"Liver, Boiled, Without Salt",1,320.0,603.4416826003825,0.0,0.0,72.96000000000001,357.12,169.92000000000002,971.5200000000001,381.12,Liver,,0.0
4009,"White Bread, Wheat Roll, Water",1,280.0,668.5468451242829,2.2399999999999998,6.72,555.52,88.48,68.03999999999999,1356.8799999999999,532.56,White Bread,,0.0
1786,"Liver Steak, Breaded, Fried",1,60.0,113.1453154875717,0.0,0.12,18.72,51.12,42.660000000000004,931.0799999999999,365.4,Liver Steak,,0.0
3022,"Rice Porridge, Water, Salt",1,50.0,25.932122370936902,0.0,0.15,23.0,1.8,0.45,123.65,48.55,Rice Porridge,porridge,0.0
3999,"White Bread, Wheat Baguette With Cheese, Fazer",1,50.0,135.9942638623327,0.1,1.15,84.0,22.0,26.55,678.2,266.2,White Bread,cheese,0.0
960,"Cocoa Powder, Unsweetened",1,40.0,147.99235181644357,0.0,12.16,17.6,29.6,78.12,59.120000000000005,23.200000000000003,Cocoa Powder,,0.0
