,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3745,"Thin Pancake, Atria",1,500.0,1065.965583173996,21.5,7.0,742.0,126.0,211.50000000000003,4130.0,1621.0,Thin Pancake,cake,0.0
969,"Cod, Boiled Without Salt",1,260.0,226.81644359464627,0.0,0.0,0.0,203.84000000000003,21.06,436.54,171.34000000000003,Cod,,0.0
3045,Roach,1,240.0,227.72466539196938,0.0,0.0,0.0,174.72,51.84,275.28,108.0,Roach,,0.0
4097,"Yoghurt, Flavoured, 7% Fat",1,170.0,205.99904397705544,24.31,0.34,97.24,19.04,107.1,155.89,61.2,Yoghurt,,5.95
176,"Bean, Adzuki Bean, Dried",1,80.0,233.6520076481836,0.8,8.88,146.24,63.68,3.6,10.16,4.0,Bean,,0.0
173,"Basil, Fresh",1,40.0,10.325047801147226,0.12,0.6400000000000001,1.7600000000000002,4.960000000000001,2.52,9.16,3.6,Basil,,0.0
2570,"Pepper, Black Pepper",1,10.0,27.98757170172084,0.06,2.6500000000000004,15.32,4.36,2.97,11.21,4.4,Pepper,,0.0
