,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3045,Roach,1,480.0,455.4493307839388,0.0,0.0,0.0,349.44,103.68,550.56,216.0,Roach,,0.0
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,330.0,459.0344168260038,0.33,7.589999999999999,388.08,44.88,17.819999999999997,3272.61,1284.36,Crashed Rye Grain E And Rice Mix,rice,0.0
4009,"White Bread, Wheat Roll, Water",1,180.0,429.78011472275335,1.4400000000000002,4.32,357.12,56.88,43.74,872.2800000000003,342.36,White Bread,,0.0
2899,"Rainbow Trout, Fillet",1,90.0,137.23709369024857,0.0,0.0,0.0,60.48,77.75999999999998,119.25,46.8,Rainbow Trout,,0.0
2915,"Rainbow Trout Sea, Fillet",1,90.0,137.23709369024857,0.0,0.0,0.0,60.48,77.75999999999998,119.25,46.8,Rainbow Trout Sea,,0.0
3027,Rice Starch,1,70.0,247.94455066921603,0.0,0.0,238.0,1.4,5.04,108.78,42.7,Rice Starch,rice,0.0
2981,"Rice, Long-Grain, Boiled Without Salt",1,40.0,43.690248565965604,0.0,0.2,37.76000000000001,3.84,1.0799999999999998,2.24,0.8800000000000001,Rice,rice,0.0
783,Chia Seed,1,20.0,91.87380497131932,0.0,6.88,0.16000000000000006,18.32,61.02,8.16,3.2,Chia Seed,,0.0
