,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
956,"Cocoa, Hot Chocolate, Sugar-Free, Water",1,360.0,48.18355640535373,0.0,3.96,5.7600000000000025,10.08,25.92,29.88000000000001,11.52,Cocoa,,0.0
755,"Cheese, Semi-Hard Cheese, 10% Fat, Valio Polar",1,260.0,530.6883365200764,0.0,0.0,0.0,302.6400000000001,236.34,2682.68,1052.74,Cheese,cheese,0.0
968,Cod,1,210.0,161.11376673040152,0.0,0.0,0.0,144.48,15.12,310.38000000000005,121.8,Cod,,0.0
4009,"White Bread, Wheat Roll, Water",1,180.0,429.78011472275335,1.4400000000000002,4.32,357.12,56.88,43.74,872.2800000000003,342.36,White Bread,,0.0
2988,"Rice, White, Long-Grain, Parboiled",1,160.0,586.2332695984704,0.0,2.72,505.6,51.84,14.4,20.32,8.0,Rice,rice,0.0
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,110.0,153.0114722753346,0.11,2.53,129.36,14.96,5.94,1090.87,428.12,Crashed Rye Grain E And Rice Mix,rice,0.0
783,Chia Seed,1,20.0,91.87380497131932,0.0,6.88,0.16000000000000006,18.32,61.02,8.16,3.2,Chia Seed,,0.0
