,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2209,"Multigrain Bread, Bread Roll, Tuhti-Moniviljasämpylä, Katri Antell",1,360.0,883.6520076481836,5.4,10.8,665.2800000000002,128.16,100.44,3669.12,1440.0,Multigrain Bread,,0.7200000000000001
968,Cod,1,260.0,199.47418738049709,0.0,0.0,0.0,178.88,18.72,384.28,150.8,Cod,,0.0
956,"Cocoa, Hot Chocolate, Sugar-Free, Water",1,260.0,34.799235181644356,0.0,2.8600000000000003,4.16,7.2799999999999985,18.72,21.58,8.32,Cocoa,,0.0
806,"Chicken Fillet, Boiled Without Salt",1,130.0,185.1816443594646,0.0,0.0,0.0,128.44,56.16,196.43,77.09,Chicken Fillet,chicken,0.0
2915,"Rainbow Trout Sea, Fillet",1,130.0,198.23135755258133,0.0,0.0,0.0,87.36000000000001,112.32,172.25,67.60000000000001,Rainbow Trout Sea,,0.0
3085,"Rye And Rice Mix, Crashed Rye Grain",1,100.0,347.7533460803058,0.3,5.8,294.0,34.0,12.6,10.2,4.0,Rye And Rice Mix,rice,0.0
1127,Double Hamburger,1,50.0,137.30879541108987,0.3,0.35,26.4,30.0,83.7,524.7,205.95,Double Hamburger,hamburger,0.0
