,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
1504,"Hamburger, Pork And Beef And Wheat Roll",1,390.0,842.6386233269599,12.09,5.46,347.88,148.2,368.55,4066.92,1596.27,Hamburger,pork,0.0
969,"Cod, Boiled Without Salt",1,360.0,314.05353728489484,0.0,0.0,0.0,282.24,29.16,604.44,237.24000000000004,Cod,,0.0
1756,Lingonberry Jam,1,360.0,494.7418738049713,119.52,3.6,482.4,2.8800000000000003,9.72,10.44,3.96,Lingonberry Jam,,0.0
3745,"Thin Pancake, Atria",1,60.0,127.91586998087952,2.58,0.84,89.04,15.12,25.38000000000001,495.6,194.52,Thin Pancake,cake,0.0
3525,"Soya Mince, White Or Dark",1,50.0,167.30401529636708,4.0,7.5,41.8,98.4,10.8,3.8,1.5,Soya Mince,,0.0
516,"Breakfast Cereal, Rice, Oat And Maize, Rice Krispies Multigrain",1,10.0,38.12141491395794,1.84,0.8,31.480000000000004,3.0,2.43,40.31,15.82,Breakfast Cereal,rice,0.0
2652,"Porcini, Boiled",1,10.0,4.636711281070745,0.25,0.46,1.4800000000000002,1.92,0.36000000000000004,1.96,0.77,Porcini,,0.0
2726,"Pork-Vegetable Puree, Average, Industrial Babyfood",1,10.0,7.265774378585085,0.15000000000000002,0.06999999999999999,3.3600000000000003,1.2000000000000002,2.7,7.63,2.99,Pork-Vegetable Puree,pork,0.04000000000000002
