,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
805,"Chicken Drumstick With Skin, Raw",1,500.0,590.3441682600383,0.0,0.0,0.0,384.0,207.0,892.0,350.0,Chicken Drumstick With Skin,chicken,0.0
2256,"Multigrain Bread, Oat Bread, Kaurajuntta, Ullan Pakari",1,290.0,669.5506692160611,3.19,12.18,530.12,103.24,54.81,3358.2,1318.05,Multigrain Bread,,0.0
2524,"Pasta, Spaghetti, Naturally Gluten-Free, Contains Egg",1,160.0,505.5449330783938,0.0,0.0,451.20000000000016,16.64,31.680000000000003,111.2,43.68000000000001,Pasta,pasta,0.0
4016,"White Fish, Pangasius/Hake/Tilapia, Average, Boiled Without Salt",1,60.0,52.77246653919694,0.0,0.0,0.0,45.35999999999999,7.0200000000000005,121.56,47.7,White Fish,fish,0.0
960,"Cocoa Powder, Unsweetened",1,30.0,110.99426386233269,0.0,9.12,13.2,22.2,58.58999999999999,44.34,17.4,Cocoa Powder,,0.0
1220,"Fish, Fatty, Smoked",1,20.0,48.04015296367113,0.0,0.0,0.0,13.840000000000002,35.46,352.14000000000016,138.20000000000002,Fish,fish,0.0
221,"Beef Chuck, Beef Shoulder",1,20.0,23.326959847036328,0.0,0.0,0.0,16.96,6.3000000000000025,29.04,11.4,Beef Chuck,beef,0.0
