,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3045,Roach,1,330.0,313.12141491395784,0.0,0.0,0.0,240.24,71.27999999999999,378.51,148.5,Roach,,0.0
2256,"Multigrain Bread, Oat Bread, Kaurajuntta, Ullan Pakari",1,280.0,646.4627151051625,3.08,11.76,511.84,99.68,52.92,3242.4,1272.6,Multigrain Bread,,0.0
2925,"Rapeseed Pork, Pork Strips",1,270.0,418.1644359464628,0.0,0.0,0.0,220.32,199.26,302.67,118.8,Rapeseed Pork,pork,0.0
956,"Cocoa, Hot Chocolate, Sugar-Free, Water",1,180.0,24.091778202676863,0.0,1.98,2.8800000000000003,5.04,12.96,14.94,5.7600000000000025,Cocoa,,0.0
2524,"Pasta, Spaghetti, Naturally Gluten-Free, Contains Egg",1,130.0,410.75525812619514,0.0,0.0,366.6,13.52,25.74,90.35,35.49,Pasta,pasta,0.0
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,100.0,139.10133843212236,0.1,2.3,117.6,13.6,5.4,991.7,389.2,Crashed Rye Grain E And Rice Mix,rice,0.0
783,Chia Seed,1,10.0,45.93690248565966,0.0,3.44,0.08000000000000003,9.16,30.51,4.08,1.6,Chia Seed,,0.0
