,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2572,Perch,1,340.0,280.35372848948373,0.0,0.0,0.0,255.68,21.42,395.08,155.04,Perch,,0.0
3000,"Rice And Rye Mix, Boiled Without Salt",1,340.0,472.944550669216,0.34,7.8199999999999985,399.84,46.24,18.36,19.04,7.48,Rice And Rye Mix,rice,0.0
1504,"Hamburger, Pork And Beef And Wheat Roll",1,330.0,713.0019120458893,10.23,4.619999999999999,294.36,125.4,311.85,3441.24,1350.69,Hamburger,pork,0.0
1462,"Hake, Oven-Baked",1,170.0,143.83365200764817,0.0,0.0,0.0,133.28,9.18,682.89,268.09,Hake,,0.0
3085,"Rye And Rice Mix, Crashed Rye Grain",1,70.0,243.4273422562141,0.21,4.06,205.8,23.8,8.819999999999997,7.139999999999999,2.8,Rye And Rice Mix,rice,0.0
1068,"Crispbread, Wasa Oat, Oat And Wheat Flour, Oat Flakes",1,30.0,107.62428298279156,0.3,3.0,76.91999999999999,14.28,14.04,372.09,146.04,Crispbread,,0.0
4097,"Yoghurt, Flavoured, 7% Fat",1,20.0,24.235181644359464,2.8600000000000003,0.04000000000000002,11.44,2.24,12.6,18.34,7.2,Yoghurt,,0.7000000000000001
