,0
count,7.0
grams,1080.0
fibre,21.3
sugar,3.19
kcal,2000.5736137667307
carb_kcal,994.52
protein_kcal,602.2400000000001
fat_kcal,400.86
salt,4908.480000000001
sodium,1926.4300000000005
lactose,0.0
