,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
805,"Chicken Drumstick With Skin, Raw",1,450.0,531.3097514340343,0.0,0.0,0.0,345.6,186.3,802.8000000000003,315.0,Chicken Drumstick With Skin,chicken,0.0
2256,"Multigrain Bread, Oat Bread, Kaurajuntta, Ullan Pakari",1,290.0,669.5506692160611,3.19,12.18,530.12,103.24,54.81,3358.2,1318.05,Multigrain Bread,,0.0
956,"Cocoa, Hot Chocolate, Sugar-Free, Water",1,230.0,30.783938814531545,0.0,2.53,3.68,6.44,16.56,19.09,7.3599999999999985,Cocoa,,0.0
2524,"Pasta, Spaghetti, Naturally Gluten-Free, Contains Egg",1,170.0,537.1414913957934,0.0,0.0,479.4,17.68,33.660000000000004,118.15,46.41,Pasta,pasta,0.0
4016,"White Fish, Pangasius/Hake/Tilapia, Average, Boiled Without Salt",1,120.0,105.54493307839388,0.0,0.0,0.0,90.71999999999998,14.04,243.12,95.4,White Fish,fish,0.0
1220,"Fish, Fatty, Smoked",1,30.0,72.06022944550669,0.0,0.0,0.0,20.76,53.18999999999999,528.21,207.3,Fish,fish,0.0
783,Chia Seed,1,20.0,91.87380497131932,0.0,6.88,0.16000000000000006,18.32,61.02,8.16,3.2,Chia Seed,,0.0
