,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2209,"Multigrain Bread, Bread Roll, Tuhti-Moniviljasämpylä, Katri Antell",1,440.0,1080.0191204588914,6.6000000000000005,13.2,813.1200000000001,156.64,122.76000000000002,4484.480000000001,1760.0000000000002,Multigrain Bread,,0.8800000000000001
3838,Turkey Breast,1,280.0,341.3001912045889,0.0,0.0,0.0,286.72,50.4,242.48,95.2,Turkey Breast,,0.0
2726,"Pork-Vegetable Puree, Average, Industrial Babyfood",1,210.0,152.5812619502868,3.1500000000000004,1.47,70.56,25.20000000000001,56.7,160.23,62.79,Pork-Vegetable Puree,pork,0.8400000000000001
3794,"Tofu, Soft, Soya Product",1,190.0,155.76003824091777,1.14,0.57,12.16,61.56,82.07999999999998,33.82,13.3,Tofu,tofu,0.0
2336,"Noodle, Boiled, Without Salt",1,70.0,93.69024856596558,0.14,0.91,70.84,12.04,8.19,3.43,1.3299999999999998,Noodle,,0.0
3526,"Soya Mince, White Or Dark, Boiled Without Salt",1,60.0,76.434034416826,1.7999999999999998,3.42,19.2,45.12,4.859999999999999,2.94,1.14,Soya Mince,,0.0
1017,"Cream, Low-Fat, 25% Fat",1,30.0,75.78871892925429,0.8999999999999999,0.0,3.6,1.56,72.89999999999998,26.76,10.5,Cream,,0.8999999999999999
