,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
221,"Beef Chuck, Beef Shoulder",1,420.0,489.8661567877629,0.0,0.0,0.0,356.16,132.3,609.84,239.4,Beef Chuck,beef,0.0
1756,Lingonberry Jam,1,340.0,467.2562141491396,112.88,3.4,455.6,2.72,9.18,9.86,3.74,Lingonberry Jam,,0.0
1490,"Hamburger, Beef And Wheat Roll, Mcdonald'S",1,230.0,539.2686424474186,8.51,4.6,233.68,124.2,192.51,2774.95,1089.05,Hamburger,beef,0.0
1068,"Crispbread, Wasa Oat, Oat And Wheat Flour, Oat Flakes",1,120.0,430.4971319311664,1.2,12.0,307.67999999999995,57.12,56.16,1488.36,584.16,Crispbread,,0.0
3152,"Saithe, Frozen",1,80.0,64.24474187380497,0.0,0.0,0.0,56.32000000000001,7.2,81.52000000000002,32.0,Saithe,,0.0
