,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2572,Perch,1,440.0,362.810707456979,0.0,0.0,0.0,330.88000000000005,27.72,511.28,200.64,Perch,,0.0
1488,"Hamburger, Beef And Wheat Roll",1,270.0,503.3460803059273,8.370000000000001,3.78,240.84000000000003,120.96,155.52,2880.09,1130.22,Hamburger,beef,0.0
3085,"Rye And Rice Mix, Crashed Rye Grain",1,200.0,695.5066921606117,0.6,11.6,588.0,68.0,25.2,20.4,8.0,Rye And Rice Mix,rice,0.0
1495,"Hamburger, Chicken Burger, Mcdonald'S",1,130.0,351.0994263862333,1.3,1.95,152.88,57.72,147.42,1140.62,447.72,Hamburger,chicken,0.0
3561,Spinach Boiled Without Salt,1,120.0,25.525812619502865,0.12,2.64,1.44,12.0,7.56,75.6,29.64,Spinach Boiled Without Salt,,0.0
1514,"Hamburger With Sausage, Without Seasonings, Grill",1,20.0,54.68451242829829,0.1,0.2,19.76,7.3599999999999985,29.16,317.04,124.42000000000002,Hamburger With Sausage,hamburger,0.0
