,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
2525,"Pasta, Spaghetti, Naturally Gluten-Free, Contains Egg, Boiled Without Salt",1,430.0,462.4760994263862,0.0,0.0,412.8,15.48,27.09,110.51,43.43,Pasta,pasta,0.0
2256,"Multigrain Bread, Oat Bread, Kaurajuntta, Ullan Pakari",1,300.0,692.6386233269599,3.3000000000000003,12.6,548.4000000000002,106.8,56.7,3474.0,1363.5,Multigrain Bread,,0.0
806,"Chicken Fillet, Boiled Without Salt",1,220.0,313.38432122370943,0.0,0.0,0.0,217.36,95.04,332.42,130.46,Chicken Fillet,chicken,0.0
2774,"Powan, Whitefish, Pollan, Lavaret, Farmed",1,170.0,225.09560229445503,0.0,0.0,0.0,134.64,90.27,85.67999999999998,33.660000000000004,Powan,fish,0.0
755,"Cheese, Semi-Hard Cheese, 10% Fat, Valio Polar",1,90.0,183.69980879541112,0.0,0.0,0.0,104.76,81.80999999999997,928.62,364.41,Cheese,cheese,0.0
3023,"Rice Porridge, Water, Without Salt",1,60.0,27.82026768642447,0.0,0.06,24.0,2.4,1.08,2.64,1.02,Rice Porridge,porridge,0.0
960,"Cocoa Powder, Unsweetened",1,20.0,73.9961759082218,0.0,6.08,8.8,14.8,39.06,29.56,11.6,Cocoa Powder,,0.0
